"Site Crawled","https://blog.shopline.tw/"
"Start Date","2026-09-06"
"Start Time","20:27:03"
"Last Modified Date","2026-09-06"
"Last Modified Time","21:17:53"
"Elapsed","00:50:49"
"Report Date","2026-09-07"
"Report Time","11:57:23"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","21133","100.00%","21133","URLs Encountered"
"Total URLs Crawled","19929","94.30%","21133","URLs Encountered"
"Total Internal blocked by robots.txt","4","0.02%","21133","URLs Encountered"
"Total External blocked by robots.txt","1200","5.68%","21133","URLs Encountered"
""
"URLs Displayed","21133","100.00%","21133","URLs Displayed"
"Total Internal URLs","12736","60.27%","21133","URLs Displayed"
"Total External URLs","8397","39.73%","21133","URLs Displayed"
"Total Internal Indexable URLs","10958","51.85%","21133","URLs Displayed"
"Total Internal Non-Indexable URLs","1778","8.41%","21133","URLs Displayed"
""
"Internal"
"All","12736","100.00%","12736","Internal URLs"
"HTML","3799","29.83%","12736","Internal URLs"
"JavaScript","368","2.89%","12736","Internal URLs"
"CSS","462","3.63%","12736","Internal URLs"
"Images","8099","63.59%","12736","Internal URLs"
"Media","0","0.00%","12736","Internal URLs"
"Fonts","0","0.00%","12736","Internal URLs"
"XML","0","0.00%","12736","Internal URLs"
"PDF","0","0.00%","12736","Internal URLs"
"Plugins","0","0.00%","12736","Internal URLs"
"Other","4","0.03%","12736","Internal URLs"
"Unknown","4","0.03%","12736","Internal URLs"
""
"External"
"All","8397","100.00%","8397","External URLs"
"HTML","6473","77.09%","8397","External URLs"
"JavaScript","3","0.04%","8397","External URLs"
"CSS","3","0.04%","8397","External URLs"
"Images","395","4.70%","8397","External URLs"
"Media","0","0.00%","8397","External URLs"
"Fonts","0","0.00%","8397","External URLs"
"XML","0","0.00%","8397","External URLs"
"PDF","10","0.12%","8397","External URLs"
"Plugins","0","0.00%","8397","External URLs"
"Other","313","3.73%","8397","External URLs"
"Unknown","1200","14.29%","8397","External URLs"
""
"Security"
"All","12736","100.00%","12736","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","12736","All internal and non-HTML external URLs"
"HTTPS URLs","12736","100.00%","12736","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","12736","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","12736","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","12736","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","2500","19.63%","12736","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","2500","19.63%","12736","All internal and non-HTML external URLs"
"Missing HSTS Header","11429","89.74%","12736","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","11429","89.74%","12736","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","11429","89.74%","12736","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","11429","89.74%","12736","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","11429","89.74%","12736","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","12736","All internal and non-HTML external URLs"
""
"Response Codes"
"All","21133","100.00%","21133","All Internal & External Crawled URLs"
"Blocked by Robots.txt","1204","5.70%","21133","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","21133","All Internal & External Crawled URLs"
"No Response","137","0.65%","21133","All Internal & External Crawled URLs"
"Success (2xx)","15375","72.75%","21133","All Internal & External Crawled URLs"
"Redirection (3xx)","3587","16.97%","21133","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","21133","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","21133","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","21133","All Internal & External Crawled URLs"
"Client Error (4xx)","820","3.88%","21133","All Internal & External Crawled URLs"
"Server Error (5xx)","10","0.05%","21133","All Internal & External Crawled URLs"
"Internal All","12736","60.27%","21133","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","4","0.02%","21133","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","21133","All Internal Crawled URLs"
"Internal No Response","4","0.02%","21133","All Internal Crawled URLs"
"Internal Success (2xx)","11429","54.08%","21133","All Internal Crawled URLs"
"Internal Redirection (3xx)","1298","6.14%","21133","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","21133","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","21133","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","21133","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","21133","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","21133","All Internal Crawled URLs"
"Internal Client Error (4xx)","1","0.00%","21133","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","21133","All Internal Crawled URLs"
"External All","8397","39.73%","21133","All External Crawled URLs"
"External Blocked by Robots.txt","1200","5.68%","21133","All External Crawled URLs"
"External Blocked Resource","0","0.00%","21133","All External Crawled URLs"
"External No Response","133","0.63%","21133","All External Crawled URLs"
"External Success (2xx)","3946","18.67%","21133","All External Crawled URLs"
"External Redirection (3xx)","2289","10.83%","21133","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","21133","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","21133","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","21133","All External Crawled URLs"
"External Client Error (4xx)","819","3.88%","21133","All External Crawled URLs"
"External Server Error (5xx)","10","0.05%","21133","All External Crawled URLs"
""
"URL"
"All","12736","100.00%","12736","Internal URLs"
"Non ASCII Characters","700","5.50%","12736","Internal URLs"
"Underscores","44","0.35%","12736","Internal URLs"
"Uppercase","31","0.24%","12736","Internal URLs"
"Multiple Slashes","0","0.00%","12736","Internal URLs"
"Repetitive Path","28","0.22%","12736","Internal URLs"
