export_key,source_tool,issue_name,severity,affected_count,status,export_file,suggested_columns,notes
double_slash_urls,Ahrefs Site Audit,Double slash in URL,Error,94,available,seo_issue_exports/double_slash_urls_2026-05-26.csv,"issue_id,issue_name,severity,affected_url,canonical_url,canonical_code,compliant,depth,recommended_fix",Ahrefs finds 94 double slash URLs; Screaming Frog current crawl reports 0 multiple slash URLs
sf_external_client_errors,Screaming Frog,External Client Error 4xx,Warning,82,planned,seo_issue_exports/sf_external_client_errors_2026-05-30.csv,"address,status_code,status,indexability,inlinks,response_time,source_page,anchor_text,recommended_fix",Mostly support.shoplineapp.com 403 URLs linked from crawled pages
sf_internal_redirects,Screaming Frog,Internal Redirection 3xx,Warning,2,planned,seo_issue_exports/sf_internal_redirects_2026-05-30.csv,"address,status_code,redirect_url,redirect_type,inlinks,source_page,anchor_text,recommended_fix",Useful for internal link cleanup
sf_page_titles_over_60,Screaming Frog,Page title over 60 characters,Warning,5,planned,seo_issue_exports/sf_page_titles_over_60_2026-05-30.csv,"address,title,title_length,pixel_width,indexability,recommended_title,recommended_fix",Title length issue
sf_page_titles_below_30,Screaming Frog,Page title below 30 characters,Warning,37,planned,seo_issue_exports/sf_page_titles_below_30_2026-05-30.csv,"address,title,title_length,pixel_width,indexability,recommended_title,recommended_fix",Title likely under-optimized
sf_page_titles_over_pixels,Screaming Frog,Page title over 561 pixels,Warning,42,planned,seo_issue_exports/sf_page_titles_over_561px_2026-05-30.csv,"address,title,title_length,pixel_width,indexability,recommended_title,recommended_fix",SERP truncation risk
sf_meta_over_155,Screaming Frog,Meta description over 155 characters,Warning,2,planned,seo_issue_exports/sf_meta_over_155_2026-05-30.csv,"address,meta_description,meta_length,pixel_width,indexability,recommended_meta,recommended_fix",SERP truncation risk
sf_meta_below_70,Screaming Frog,Meta description below 70 characters,Warning,22,planned,seo_issue_exports/sf_meta_below_70_2026-05-30.csv,"address,meta_description,meta_length,pixel_width,indexability,recommended_meta,recommended_fix",May miss value proposition
sf_meta_over_pixels,Screaming Frog,Meta description over 985 pixels,Warning,54,planned,seo_issue_exports/sf_meta_over_985px_2026-05-30.csv,"address,meta_description,meta_length,pixel_width,indexability,recommended_meta,recommended_fix",SERP truncation risk
sf_h1_duplicate,Screaming Frog,H1 duplicate,Warning,16,planned,seo_issue_exports/sf_h1_duplicate_2026-05-30.csv,"address,h1_1,h1_2,occurrences,indexability,recommended_h1,recommended_fix",May weaken page topic differentiation
sf_h1_multiple,Screaming Frog,Multiple H1,Warning,9,planned,seo_issue_exports/sf_h1_multiple_2026-05-30.csv,"address,h1_1,h1_2,occurrences,indexability,recommended_fix",Review template and content hierarchy
sf_images_over_100kb,Screaming Frog,Images over 100 kB,Warning,158,planned,seo_issue_exports/sf_images_over_100kb_2026-05-30.csv,"image_url,status_code,size,inlinks,source_page,alt_text,recommended_fix",Performance opportunity
sf_images_missing_size,Screaming Frog,Images missing size attributes,Warning,7,planned,seo_issue_exports/sf_images_missing_size_2026-05-30.csv,"image_url,source_page,width,height,inlinks,recommended_fix",Can contribute to layout shifts
sf_hreflang_missing_self_reference,Screaming Frog,Hreflang missing self reference,Error,94,planned,seo_issue_exports/sf_hreflang_missing_self_reference_2026-05-30.csv,"address,hreflang_entries,canonical,indexability,recommended_fix",Matches international SEO priority
sf_hreflang_missing_x_default,Screaming Frog,Hreflang missing x-default,Warning,81,planned,seo_issue_exports/sf_hreflang_missing_x_default_2026-05-30.csv,"address,hreflang_entries,canonical,indexability,recommended_fix",Consider whether x-default is needed for language selector/global default
sf_security_missing_hsts,Screaming Frog,Missing HSTS header,Warning,95,planned,seo_issue_exports/sf_security_missing_hsts_2026-05-30.csv,"address,status_code,indexability,response_time,recommended_fix",Security hardening; not direct SEO ranking fix
sf_security_missing_referrer_policy,Screaming Frog,Missing secure referrer-policy header,Warning,95,planned,seo_issue_exports/sf_security_missing_referrer_policy_2026-05-30.csv,"address,status_code,indexability,response_time,recommended_fix",Security and privacy hardening
ahrefs_not_compressed,Ahrefs Site Audit,Not compressed,Warning,189,planned,seo_issue_exports/ahrefs_not_compressed_2026-05-26.csv,"affected_url,content_type,size,compression,response_time,recommended_fix",Ahrefs broader crawl than SF internal HTML crawl
ahrefs_structured_data_rich_results,Ahrefs Site Audit,Structured data has Google rich results validation error,Notice,189,planned,seo_issue_exports/ahrefs_structured_data_rich_results_2026-05-26.csv,"affected_url,structured_data_type,error,warnings,recommended_fix",Needs issue detail export from Ahrefs
