source_tool,crawl_id,site_url,crawl_date,metric_group,metric,value,percent,notes
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Crawl,Total URLs Encountered,734,100.00,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Crawl,Total URLs Crawled,726,98.91,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Crawl,Total Internal URLs,100,13.62,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Crawl,Total External URLs,634,86.38,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Crawl,Total Internal Indexable URLs,95,12.94,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Crawl,Total Internal Non-Indexable URLs,5,0.68,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Response Codes,External Client Error 4xx,82,11.17,All current matching rows are support.shoplineapp.com 403 responses
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Response Codes,Internal Redirection 3xx,2,0.27,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Response Codes,Internal Client Error 4xx,0,0.00,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,URL,Multiple Slashes,0,0.00,Screaming Frog current crawl does not reproduce Ahrefs double slash URLs
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Page Titles,Over 60 Characters,5,5.26,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Page Titles,Below 30 Characters,37,38.95,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Page Titles,Over 561 Pixels,42,44.21,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Meta Description,Over 155 Characters,2,2.11,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Meta Description,Below 70 Characters,22,23.16,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Meta Description,Over 985 Pixels,54,56.84,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,H1,Duplicate,16,16.84,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,H1,Over 70 Characters,9,9.47,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,H1,Multiple,9,9.47,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Images,Over 100 kB,158,66.67,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Images,Missing Size Attributes,7,2.95,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Hreflang,Missing Self Reference,94,98.95,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Hreflang,Missing X-Default,81,85.26,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Security,Missing HSTS Header,95,95.00,
Screaming Frog,ac58aee4-4b72-41af-b86f-3adb12b49bde,https://shopline.tw/,2026-05-30,Security,Missing Secure Referrer-Policy Header,95,95.00,
