address,issue,current_value,length,pixel_width,occurrences,indexability,source_pages,recommended_fix
https://shopline.tw/faq/pos,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/faq/overview,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/showcase,Duplicate H1,精選品牌案例,6,,6,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/showcase/beauty-health-brand,Duplicate H1,精選品牌案例,6,,6,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/pets | https://shopline.tw/showcase/food-beverage-brand,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/faq/features,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/showcase/health-and-supplements,Duplicate H1,精選品牌案例,6,,6,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/pets | https://shopline.tw/showcase/food-beverage-brand,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/faq/community,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/faq/payments-and-shipping,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/faq/cooperation,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/faq/plans,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/design | https://shopline.tw/faq/pos,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/showcase/electronics-brand,Duplicate H1,精選品牌案例,6,,6,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/pets | https://shopline.tw/showcase/food-beverage-brand,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/faq/about,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/showcase/food-beverage-brand,Duplicate H1,精選品牌案例,6,,6,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/pets | https://shopline.tw/showcase/lifestyle-brand,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/faq/design,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/pos,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/faq/social-commerce,Duplicate H1,SHOPLINE 新手問答,13,,10,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
https://shopline.tw/showcase/sport-outdoor-brand,Duplicate H1,精選品牌案例,6,,6,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/pets | https://shopline.tw/showcase/food-beverage-brand,改成能反映頁面獨特主題的 H1，避免多頁共用相同主題訊號。
