address,issue,current_value,length,pixel_width,occurrences,indexability,source_pages,recommended_fix
https://shopline.tw/online-store/outdoor-ecommerce,Page title below 30 characters,戶外用品產業電商開店｜SHOPLINE 全方位零售整合專家,29,499,1,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/outdoor-ecommerce,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/online-store/bedding,Page title below 30 characters,寢具電商開店｜SHOPLINE 全方位零售整合專家,25,419,1,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/bedding,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/compliance-center,Page title below 30 characters,資格與認證｜SHOPLINE 全方位零售整合專家,24,399,1,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/online-store/fragrance-products,Page title below 30 characters,香氛電商創業開店｜SHOPLINE 全方位零售整合專家,27,459,1,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/fragrance-products,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/faq/overview,Page title below 30 characters,新手問答｜SHOPLINE 全方位零售整合專家,23,379,1,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/online-store/fashion-and-apparel,Page title below 30 characters,流行服飾產業電商開店｜SHOPLINE 全通路零售整合專家,29,499,1,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/fashion-and-apparel,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/news/shopline-20250523,Page title below 30 characters,SHOPLINE 聲明稿,12,159,1,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/shopline-20250523,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/showcase,Page title below 30 characters,電商品牌商家案例｜SHOPLINE 全方位零售整合專家,27,459,1,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/showcase/beauty-health-brand,Page title below 30 characters,美妝保養品牌商家案例｜SHOPLINE 全通路零售整合專家,29,499,1,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/pets | https://shopline.tw/showcase/food-beverage-brand,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/showcase/fashion-brand,Page title below 30 characters,流行時尚品牌商家案例｜SHOPLINE 全通路零售整合專家,29,499,1,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/pets | https://shopline.tw/showcase/food-beverage-brand,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/online-store/features,Page title below 30 characters,網路開店功能｜SHOPLINE 全方位零售整合專家,25,419,1,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/logistics,Page title below 30 characters,電商物流串接一次搞定｜SHOPLINE 全方位零售整合專家,29,499,1,Indexable,https://shopline.tw/about/sitemap | https://shopline.tw/faq/payments-and-shipping | https://shopline.tw/faq/payments-and-shipping,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/showcase/health-and-supplements,Page title below 30 characters,保健食品品牌商家案例｜SHOPLINE 全通路零售整合專家,29,499,1,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/pets | https://shopline.tw/showcase/food-beverage-brand,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/showcase/lifestyle-brand,Page title below 30 characters,生活居家品牌商家案例｜SHOPLINE 全通路零售整合專家,29,499,1,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/pets | https://shopline.tw/showcase/food-beverage-brand,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/selectedpartners,Page title below 30 characters,精選夥伴｜SHOPLINE 全方位零售整合專家,23,379,1,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/solutions/data-analysis,Page title below 30 characters,數據賦能解決方案｜SHOPLINE 全方位零售整合專家,27,459,1,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/about/pricing/module,Page title below 30 characters,SHOPLINE 額外擴充功能及模組介紹,20,319,1,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/about/sitemap,Page title below 30 characters,網站地圖｜SHOPLINE 全方位零售整合專家,23,379,1,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/online-store/health-and-supplements,Page title below 30 characters,保健食品產業電商開店｜SHOPLINE 全通路零售整合專家,29,499,1,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/health-and-supplements,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/solutions/member-repurchase,Page title below 30 characters,會員回購解決方案｜SHOPLINE 全方位零售整合專家,27,459,1,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/about,Page title below 30 characters,關於我們｜SHOPLINE 全方位零售整合專家,23,379,1,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/online-store/food-and-beverage,Page title below 30 characters,食品飲料產業電商開店｜SHOPLINE 全通路零售整合專家,29,499,1,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/food-and-beverage,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/about/press,Page title below 30 characters,最新消息｜SHOPLINE 全方位零售整合專家,23,379,1,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/social-commerce/features,Page title below 30 characters,智慧社群購物系統功能｜SHOPLINE 全方位零售整合專家,29,499,1,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/online-store/bags,Page title below 30 characters,包包產業電商開店｜SHOPLINE 全方位零售整合專家,27,459,1,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/bags,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/showcase/pets,Page title below 30 characters,寵物用品品牌商家案例｜SHOPLINE 全通路零售整合專家,29,499,1,Indexable,https://shopline.tw/showcase | https://shopline.tw/showcase/food-beverage-brand | https://shopline.tw/showcase/lifestyle-brand,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/shopper-app,Page title below 30 characters,品牌會員購物 App｜SHOPLINE 全方位零售整合專家,29,459,1,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
https://shopline.tw/faq/plans,Page title below 30 characters,方案費用及付款說明｜SHOPLINE 全方位零售整合專家,28,479,1,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/design | https://shopline.tw/faq/pos,補入頁面主題、品牌與商業價值詞，避免只剩泛稱。
